country,exp,exp_f,exp_m,elec,elec_rural,elec_urban,lit,lit_f,lit_m,mort,mort_f,mort_m
Greece,77.88780488,80.5,75.4,100,100,100,,,,6.9,6.3,7.5
Greenland,66.89268293,69.72,64.2,100,100,100,,,,,,
Grenada,70.25160976,72.641,67.976,85.4112,72.26502,100,,,,13.6,12.5,14.5
Guam,75.09802439,77.533,72.779,52.53027,39.52079,53.49400246,,,,,,
Guatemala,67.74270732,71.388,64.271,78,67.1,91.25405411,,,,39.9,35.8,43.8
Guinea,51.24290244,51.268,51.219,16.4,1.5,49.5288818,,,,103.1,94.5,111.2
Guinea-Bissau,51.44543902,52.54,50.403,53.5,14,100,41.35776901,27.4942131,57.61375427,106.9,96.4,117
Guyana,64.97314634,67.991,62.099,74.5,67.58066,91.69489991,,,,37.2,32.3,41.8
Haiti,57.67604878,59.501,55.938,31.4,5.2,78.79550562,,,,75,68,81.7
Heavily indebted poor countries (HIPC),52.08254071,53.35901322,50.87675473,20.18406215,6.004203497,55.72728644,52.24945762,42.21761135,63.15348501,91.30844465,83.91601003,98.34877402
High income,75.97369359,79.48344163,72.66240945,99.33100428,99.07657492,99.38161847,98.28657844,97.99626048,98.59324858,9,8,9.9
High income: OECD,77.82563692,80.94043822,74.86222461,99.88652611,99.68423672,99.93525717,,,,5.803390781,5.24029844,6.320650305
High income: nonOECD,69.7451608,74.21705662,64.59124767,97.31386507,96.67609134,97.41971912,96.53824677,96.19022907,96.91347458,18.56597927,16.33814868,20.71463656
Honduras,70.49419512,72.964,68.142,67,34.2,100,,,,30.5,27.1,33.8
"Hong Kong SAR, China",80.87804878,83.9,78,100,100,100,,,,,,
Hungary,71.24634146,75.6,67.1,100,100,100,,,,9.7,8.8,10.6
Iceland,79.65365854,81.6,77.8,100,100,100,,,,3.1,2.8,3.4
India,62.63063415,63.486,61.816,62.3,48.4,98.64035855,,,,66.4,66.6,66.2
Indonesia,66.24687805,67.995,64.582,87.6,73.4,100,,,,41.1,36.5,45.4
"Iran, Islamic Rep.",70.13719512,71.116,69.205,97.9,97.8,97.95614753,,,,28.6,27.3,29.8
Iraq,70.82992683,72.954,68.807,94.45585,89.38065,96.862885,74.05220032,64.16950226,84.08740997,35.8,32.6,38.8
